National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Baco Blanc,,,,,,,,,,,,,2137,,,,,,,,,,,,,,,,,,,,,,,,2137
Baco Noir,,,,,,,,279,,,,,7,,,,,,,,,,,,,,,,,,,,,112,,,397
Baga,,,,,,,,,,,,,,,,,,,,,,,6730,,,,,,,,,,,,,,6730
Baleille,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Barbarossa,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16
Barbaroux,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,79
Barbera,,1061,,103,,,,,,,,,,,,,,27175,,,,,,,,,,,15,,,,,4693,,,33048
Barbera Bianca,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,251
Barbera Sarda,,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,,,,,326
Barcelo,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,34
Bariadorgia,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Baroque,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,169
Barsaglina,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,20
Bastardillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
Bastardo Magarachsky,,,,,,,,,,,,,,,,,,,,1040,,,,,,,,,,,,,,,,929,1969
Batili,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,27
Batily,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,38
Batoca,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,80
Bayanshira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,451
Beba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4762,,,,,,,4762
Beclan,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Bellandais,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Bellone,,,,,,,,,,,,,,,,,,1315,,,,,,,,,,,,,,,,,,,1315
Bequignol Noir,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Bianca,,,,,,,,,,,,,,,,,,,,15,,,,,2165,,,,,,,,,,,,2180
Biancame,,,,,,,,,,,,,,,,,,1330,,,,,,,,,,,,,,,,,,,1330
Bianchetta Trevigiana,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,53
Bianco d'Alessano,,,,,,,,,,,,,,,,,,941,,,,,,,,,,,,,,,,,,,941
Biancolella,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,385
Biancone di Portoferraio,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,67
Biancu Gentile,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
