National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Marufo,,,,,,,,,,,,,,,,,,,,,,,3512,,,,,,,2827,,,,,,,6339
Marzemina Bianca,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,78
Marzemino,,,,,,,,,,,,,,,,,,994,,,,,,,,,,,,,,,,,,,994
Matrasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20
Mauzac Blanc,,,,,,,,,,,,,3251,,,,,,,,,,,,,,,,,,,,,,,,3251
Mauzac Noir,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10
Mauzac Rose,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,59
Mavro,,,,,,,,,,,10969,,,,,,,,,,,,,,,,,,,,,,,,,,10969
Mavro Messenikola,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
Mavrodafni,,,,,,,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,,,537
Mavrouda,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,349
Mavrud,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647
Mayolet,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4
Mazuelo,7550,,,90,,,,,641,,,,95745,,,,,1721,,,1692,,,,,,,,71,8103,,7576,,3088,,374,126650
Mazzese,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,80
Mecle de Bourgoin,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Melara,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,13
Melon,,,,,,,,,,,,,13253,,,,,,,,,,,,,,,,,,,,,,,,13253
Mencia,,,,,,,,,,,,,,,,,,,,,,,1971,,,,,,,11166,,,,,,,13138
Menu Pineau,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,380
Merille,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,131
Merlo,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
Merlot,1510,5513,,7669,112,469,11169,674,12825,,,,101309,,,180,486,21861,,8123,,657,,7810,,,,1197,4888,1186,848,,,16875,1057,5549,211967
Merlot Blanc,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,176
Merseguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7460,,,,,,,7460
Merzling,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5
Meslier Saint-Francois,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,55
Michele Parlieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
Miguel del Arco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,,,,,,,1267
Milgranet,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Minella Bianca,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,73
Misket,,,,,,,3764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764
Molette,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,30
Molinara,,,,,,,,,,,,,,,,,,1301,,,,,,,,,,,,334,,,,,,,1634
Mollard,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,23
Monastrell,,,,948,,,,,22,,,,7634,,,,,,,,,,,,,,,,13,67160,,337,,187,,3,76304
Monbadon,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Mondeuse Blanche,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,22
Mondeuse Grise,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Mondeuse Noire,,,,,,,,,,1189,,,215,,,,,,,,,,,,,,,,,,,,,,,,1404
Monemvassia,,,,,,,,,,,,,,,,418,,,,,,,,,,,,,,,,,,,,,418
Monerac,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Monica Nera,,,,,,,,,,,,,,,,,,2835,,,,,,,,,,,,,,,,,,,2835
Monstruosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Montepulciano,,,,,,,,,,,,,,,,,,28679,,,,,,,,,,,,,,,,,,,28679
Montils,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,131
Montonico Bianco,,,,,,,,,,,,,,,,,,647,,,,,,,,,,,,,,,,10,,,656
Montu,,,,,,,,,,,,,,,,,,1091,,,,,,,,,,,,,,,,,,,1091
Monvedro,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,14
Moore's Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,19
Moravia Agria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092,,,,,,,1092
Morenillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,39
Moreto,,,,,,,,,,,,,,,,,,,,,,,1053,,,,,,,,,,,,,,1053
Morio-Muskat,,,,,,,,,,,,,,,1167,,,,,,,,,,,,,,21,,,,,,,,1188
Mornen Noir,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Morone,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,22
Morrastel Bouschet,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Moscatel Branco,,,,,,,,,,,,,,,,,,,,,,,1419,,,,,,,,,,,,,,1419
Moscatel Rosada,,10656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10656
Moscatello Selvatico,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,105
Moscato di Scanzo,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,73
Moscato di Terracina,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,229
Moscato Giallo,,,,,,,,,65,,,,,,,,,345,,,,,,,,,,,,,,,,,,,410
Moscato Rosa del Trentino,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,93
Moschofilero,,,,,,,,,,,,,,,,423,,,,,,,,,,,,,,,,,,,,,423
Moschofilero II,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,46
Moschomavro,,,,,,,,,,,,,,,,2305,,,,,,,,,,,,,,,,,,,,,2305
Mostosa,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,95
Mourvaison,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9
Mouyssagues,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Mskhali,,,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093
Mtsvane  Kakhuri,,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,249
Muller Thurgau,,,,,3289,,,,,,,1586,5,,20691,,3278,996,459,173,,419,,,,,1870,,,,686,,,,,120,33572
Muscadel (Red),,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,360
Muscadelle,,,,198,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,2207
Muscardin,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,19
Muscat a Petits Grains Roses,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,116
Muscat a Petits Grains Rouge,,,,380,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,500
Muscat Bailey A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72
Muscat Blanc a Petits Grains,,,526,214,143,,,,,,,,6935,,87,2222,1538,13016,,172,,,,1012,,,,,773,223,44,,,515,,981,28401
Muscat de Ialoveni,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,20
Muscat Fleur d'Oranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,36
Muscat of Alexandria,,5539,,2495,,809,,,,,,,3027,,,,,1157,,,3669,,510,,,,,,4047,6144,,,,2013,,,29411
Muscat of Alexandria Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11
Muscat of Hamburg,,,,,,,445,,,,,,752,,,,,199,,,,,,,,2760,,,,6,,,,17,2886,,7066
Muscat Ottonel,,,,,418,,2914,,,,,,162,,7,,1416,,,1520,,,,5787,,,,,34,,,,,,,,12259
Muscat Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,159
Muscat Violet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19
Naparo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Narince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,537
Nasco,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,166
Nebbiera,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,20
Nebbiolo,,,,50,,,,,10,,,,,,,,,4778,,,,,,,,,,,12,,0,,,71,,126,5047
Negoska,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,96
Negramoll,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,,1642,,,,,,874,3557
Negrette,,,,,,,,,,,,,1319,,,,,,,,,,,,,,,,,,,,,,,,1319
Negretto,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,280
Negroamaro,,,,,,,,,,,,,,,,,,16619,,,,,,,,,,,,,,,,,,,16619
Negru de Ialoveni,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,15
Ner d'Ala,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8
Nerello Cappuccio,,,,,,,,,,,,,,,,,,1501,,,,,,,,,,,,,,,,,,,1501
Nerello Mascalese,,,,,,,,,,,,,,,,,,4167,,,,,,,,,,,,,,,,,,,4167
Neretta Cuneese,,,,,,,,,,,,,,,,,,374,,,,,,,,,,,,,,,,,,,374
Neretto di Bairo,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,53
Nero Buono di Cori,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,114
Nero d'Avola,,,,,,,,,,,,,,,,,,11318,,,,,,,,,,,,,,,,,,,11318
Nero di Troia,,,,,,,,,,,,,,,,,,1765,,,,,,,,,,,,,,,,,,,1765
Neuburger,,,,,1094,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,1434
Neyret,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,76
Niagara,,,,,,13436,,461,,,,,,,,,,,,,,,,,,,,,,,,,,1357,,89,15343
Nieddera,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,58
Nigra,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,7
Noah,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,71
Nobling,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,0,,,,,,102
Nocera,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,27
Noir Fleurien,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Norton,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Nosiola,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,191
Notardomenico,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,13
Noual,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Nouvelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
Nuragus,,,,,,,,,,,,,,,,,,3186,,,,,,,,,,,,,,,,,,,3186
Oberlin,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Oberlin White,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Odessky Cherny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,1694
Odola,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Oeillade Bousche,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10
Ohanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Ojaleshi,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,25
Okuzgozu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,1033
Olivette Noire,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Ondarrabi Zuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,189
Ondenc,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12
Onitskanskii Belyi,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5
Optima,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,239
Orion,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,8
Ortega,,,,,,,,,,,,,,,1054,,,,,,,,,,,,,,,,,,,,,,1054
Ortrugo,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,485
Osteiner,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3
Otskhanuri Sapere,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5
Palomino Fino,,,,124,,,,,,,,,440,,,,,,,,,21,,,,,,,1632,27685,,,,319,,76,30297
Palot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Pamid,,,,,,,22581,,,,,,,,,15,121,,,,,,,,,,,,,,,,,,,,22718
Pampanuto,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,,277
Panse Valenciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,,,,,,,649
Papazkarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,122
Pardillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7272,,,,,,,7272
Parellada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11188,,,,,,,11188
Parraleta,,,,,,,,,,,,,11,,,,,141,,,,,,,,,,,,15,,,,,,,167
Pascal Blanc,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Pascale,,,,,,,,,,,,,,,,,,1573,,,,,,,,,,,,,,,,,,,1573
Passau,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,12
Passerina,,,,,,,,,,,,,,,,,,715,,,,,,,,,,,,,,,,,,,715
Pavana,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,69
Pecorello,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,16
Pecorino,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,80,166
Pedral,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,121,,,,,,,179
Pedro Gimenez,,15101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15101
Pedro Ximenez,,,,89,,,,,2379,,,,,,,,,,,,,,,,,,,,,14803,,,,,,1,17272
Pelaverga,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,28
Pelaverga Piccolo,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,24
Peloursin,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Perdea,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13
Perera,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,25
Perle,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,121
Perlette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Perlita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Perola,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,68
Perricone,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,580
Perruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831,,,,,,,2831
Persan,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Pervenets Magaracha,,,,,,,,,,,,,,,,,,,,,,,,,2388,,,,,,,,,,,449,2837
Pervomaisky,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,64
Petit Bouschet,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Petit Courbu,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,75
Petit Manseng,,,,,,,,,,,,,613,,,,,,,,,,,,,,,,,,,,,,,,613
Petit Meslier,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Petit Rouge,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,100
Petit Verdot,,,,721,,,,,84,,,,401,,,,,61,,,,,,,,,,,109,,,,,96,,8,1481
Phoenix,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24
Picapoll Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,34
Piccola Nera,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,17
Picolit,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,93
Piculit Neri,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,126
Piedirosso,,,,,,,,,,,,,,,,,,896,,,,,,,,,,,,,,,,,,,896
Pignola Valtellinese,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,70
Pignoletto,,,,,,,,,,,,,,,,,,6009,,,,,,,,,,,,,,,,,,,6009
Pignolo,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,18
Pineau d'Aunis,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,,,,,430
Pinella,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,66
Pinot Blanc,,48,,,2936,,,146,14,,,,1401,171,2396,,,4993,138,350,,,,,2995,,623,,35,,77,,,431,,238,16990
Pinot Gris,,,,,293,,,210,2,,,,1969,,2636,,890,6608,155,2042,,127,,2388,,,,,104,,149,,,826,,480,18879
Pinot Meunier,,,,107,,,,,,,,,10621,,,,,10,,,,,,,,,,,6,7,,,,80,,,10832
Pinot Noir,1510,1047,,3223,409,,769,457,1614,,,,26525,,,,243,3287,66,6521,,1098,,1740,,,,,487,417,4601,,,5343,,741,60099
Pinot Noir Precoce,,,,,,,,,,,,,1,,84,,,,,,,,,,,,,,,,,,,,,,86
Pinotage,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,6501,,,,,,,,6574
Piquepoul Blanc,,,,,,,,,,,,,975,,,,,,,,,,,,,,,,,,,,,,,,975
Piquepoul Bousch,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Piquepoul Gris,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9
Piquepoul Noir,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,10,,,,,,,103
Plant Droit,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,40
Planta Mula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Planta Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029,,,,,,,2029
Plantet,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,1,,,,,,209
Plassa,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,41
Plavac Mali,,,,,,,,,,6539,,,,,,,,,,,,,,,,,,,,,,,,,,,6539
Podarok Magaracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
Pollera Nera,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19
Portan,,,,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,368
Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
Posip Bijeli,,,,,,,,,,6539,,,,,,,,,,,,,,,,,,,,,,,,,,,6539
Pougnet,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Poulsard,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,295
Poulsard Blanc,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,14
Precoce de Malingre,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Prensal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,114
Preto Martinho,,,,,,,,,,,,,,,,,,,,,,,428,,,,,,,,,,,,,,428
Prie,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,36
Prieto Picudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3256,,,,,,,3256
Primetta,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,17
Prodest,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
Prokupac,,,,,,,,,,,,,,,,,,,,,,,,,,15180,,,,,,,,,,,15180
Prosecco,,,,,,,,,,,,,,,,,,7498,,,,,,,,,,,,,,,,,,,7498
Provareau,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Prunelard,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Prunesta,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,92
Putzscheere,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Quagliano,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8
Quebranta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,230
Rabigato,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,,,,,1133
Rabo de Ovelha,,,,,,,,,,,,,,,,,,,,,,,2330,,,,,,,,,,,,,,2330
Raboso Piave,,,,,,,,,,,,,,,,,,1270,,,,,,,,,,,,,,,,,,,1270
Raboso Veronese,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,307
Raffiat de Moncade,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16
Raisaine,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Ramisco,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,72
Rauschling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,23
Ravat,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Ravat Blanc,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Rayon d'Or,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Rebo,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,37
Red Globe,,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,168,2068
Red Semillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
Refosco,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,,,,,,,,,1267
Refosco dal Peduncolo Rosso,,,,,,,,,,,,,,,,,,711,,,,,,,,,,,,,,,,,,,711
Refosco di Faedis,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,256
Regent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,16
Regina,,,,,,,,,,,,,,,,,,1509,,,,,,,,,,,,,,,,,,,1509
Regner,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,150
Reichensteiner,,,,,,,,,,,,,,,257,,,,,,,62,,,,,,,,,,,,,,,319
Retagliado Bianco,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,26
Reze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Ribolla Gialla,,,,,,,,,,,,,,,,,,280,,,,,,,,,,1127,,,,,,,,,1406
Rieslaner,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,70
Riesling,,,,3129,1643,,647,482,286,,,793,3407,,22350,,1619,599,175,1343,,490,,,1376,,,,477,97,8,,,1965,,2279,43166
Rio Grande,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4
Riton,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
Rkatsiteli,,,2469,,,,9429,,,,,,,19741,,,,,,11508,,,,506,13152,,,,,,,,,,,10549,67354
Robola,,,,,,,,,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,356
Roditis,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,,,,299
Roditis(Red),,,,,,,,,,,,,,,,6945,,,,,,,,,,,,,,,,,,,,,6945
Rojal Tinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845,,,,,,,2845
Rollo,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,117
Rombola Red,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Romeiko,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,,,,382
Romorantin,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,81
Rondinella,,,,,,,,,,,,,,,,,,2797,,,,,,,,,,,,,,,,,,,2797
Roobernet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,78
Rosa Arica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Rose du Var,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,129
Rossara Trentina,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,29
Rossese,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,232
Rossignola,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,295
Rossola Nera,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,102
Roter Veltliner,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258
Rotgipfler,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
Roublot,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Rougeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,36
Roussanne,,,,,,,,,,,,,760,,,,,94,,,,,,,,,,,0,,,,,21,,,874
Roussette d'Ayze,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Roussin,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
Royalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,,,338
