Nom_com,Num_com,Viniféra de table,Miscat de hambourg,Chasselas blanc,Chasselas rose,Viniféra divers de cuve,Madeleine royale,Alicantes Bouschet,Aligoté,Altesse,Aramon noir,Aramon blanc,Cargignan noir,Cabernet sauvignon,Chenin blanc,Chardonnay,Cinaut,Clairette blanche,Folle blanche,Gamay,Gamay freau,Gamay Teinturier,Grand noir de la calmette,Grenache noir,Grolleau,Jaquère,Marsanne,Gros meslier,Malvoisie rose du po,mondeuse blanche,Mondeuse noire,Muscat blanc pts grain,Petit bouchet,Pinot Gris,Pinot blanc vrai,Pinot noir,Portugais bleu,Savagnin blanc traminer,Semillon,Syrah,carignan bouschet,Chatus,Corbeau,Durif,Etraire de la dui,,Limberger,Geuche noir,Gouais blanc,Hibou,St pierre dore,Molette blanche,Mornen noir,Olivette blanche,Persan,Roussanne,Riesling,Sylvaner,Verdesse,Servanin,Hybrides divers de cuves,Alicante terra 20,Black defiance,Rudelin divers,Baco 1,Bertille seyve divers,Burdin diverrs,Canada,Castel divers,Couderc Divers,Gaillard divers,Landot divers,Oberlin divers,Ravat divers,Seibel Divers,Seyve villard divers,Rupestris du lot,5 BB teleki,44 53 M,Noah,Othello,Isabelle,Jacquez,Clinton,plantier,Cépages indéterminé,Total
Bonvillard,73048,,,,,80,,6040,,,3170,,,,,,,,,725,,,8006,,,14517,,,,,74864,,,,,,,,,,,,4971,25,1664,,678,,,,,,,,,,,,,,,,,,140,,,,,,,130,,,9092,441,,,,240,,115,,681,,2637,128216
Bonvillaret,73049,,,,,,,6299,,,1678,,,,,,,,,,,,2374,,,8120,,,,,53687,,,,,,,,,,,,1265,,1755,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,10221,450,,,,136,,,,710,,8527,95822
Bourdeau,73050,,,,,,,2188,1480,,,,,,,,,,,100,,,,,,26804,,,,,1800,,,,,,,,,,,,13265,220,,,,,,,,,,,330,,,,,,3170,,,,,,,,,,,,,350,15465,,,,,,,,,,610,10861,76643
Le bourget du lac,73051,,,3489,,,,14653,,600,,,,,,700,,,,7363,,,2135,,,107209,,,,,21998,,,,,,,,,,,,89304,1507,600,,,,15469,,,,,,14541,,,,,,41198,,,,1875,,,,,5422,269,,,,28380,749,,,,310,,,,,,5694,363465
Le bourget en huile,73052,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1240
Bourgneuf,73053,,,,,,,912,,,,,,,,,,,,,,,,,,16150,,,,,1635,,,,,,,,,,,,210,,,,,,,,,,,,30,,,,,,,,,,19744,,,,,,,,,,95154,,,,,685,10878,,,15838,,,161236
Bozel,73055,,,,,,,,,,,,,,,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035
Brides les bains,73057,,,400,,,,,,,,,,,,,,,,1414,,,8722,,,,,,,,3197,,,,,,500,,,,,,150,,,,,,183,914,,,,,,,,,,,,,,,,,,,,,,,,,5756,,,,,,,,,,,,21236
La bridoire,73058,,,,,,,700,,,,,,,,,,,,600,,,,,,2980,,,,,1030,,,600,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,12950,,,,730,400,1740,250,300,,53200,1000,,,,500,200,,,,,15700,93380
Brison saint Innocent,73059,,,270,,,,520,2176,7836,,,,779,,7054,,260,,27355,,,,,,88651,,,131,,178841,,,,,,,,,270,,,85677,,,,,,,,,809,,,,,,,,,,,206,,329,,,,,,,3000,,10644,16995,170,,,,,,,,,,300,432273
