Nom commune,Num_com,Viniféra de table,Miscat de hambourg,Viniféra divers de cuve,Aligoté,Altesse,Chasselas blanc,Chasselas rose,Madeleine royale,Alicantes Bouschet,Aramon noir,Aramon blanc,Cargignan noir,Cabernet sauvignon,Chenin blanc,Chardonnay,Cinaut,Clairette blanche,Clairette Rose,Folle blanche,Gamay,Gamay freau,Gamay Teinturier,Grand noir de la calmette,Grenache noir,Grolleau,Jaquère,Marsanne,Gros meslier,Malvoisie rose du po,Merlot rouge,mondeuse blanche,Mondeuse noire,Muscadelle,Muscat blanc pts grain,Petit bouchet,Pinot Gris,Pinot blanc vrai,Pinot noir,Portugais bleu,Savagnin blanc traminer,Semillon,Syrah,carignan bouschet,Chatus,Corbeau,Durif,Etraire de la dui,Gringet,Bonne roussette d'ayze,Limberger,Geuche noir,Gouais blanc,Hibou,St pierre dore,Molette blanche,Mornen noir,Olivette blanche,Persan,Roussanne,Riesling,Sylvaner,Verdesse,Servanin,Hybrides divers de cuves,Alicante terra 20,Black defiance,Rudelin divers,Baco 1,Bertille seyve divers,Burdin diverrs,Canada,Auxerrois rupestris,Hybride fournie,Castel divers,Couderc Divers,Gaillard divers,Landot divers,Oberlin divers,Ravat divers,Seibel Divers,Seyve villard divers,Rupestris du lot,5 BB teleki,44 53 M,Noah,Othello,Isabelle,Jacquez,Clinton,plantier,Cépages indéterminé,Total
Minzier,74184,,,,,300,4250,,,,,,,,,,,,,,,,2000,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,4025,,400,19745,450,,,,1150,1800,,,,,500,37520
Montagny les lanches,74186,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810,,,,,,,,,,,,8912
Moye,74192,,,5725,,,140,,,,,,,,,,,,,,1945,,,,,,11154,,,,,,32011,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,,,2835,,,,,120,,,,,,,,,,,128735,746,,,,458,1740,,,,,,186539
Musieges,74195,,,,,820,,,,,,,,,,,,,,,600,,,,,,,,,,,,2138,,,,,,,,,,,,,,,,,,,,,,,3492,,,,,,,,,9215,,,,,200,,,,,,,,,,,3866,,,,,,,,,,,2227,22558
Neuvecelle,74200,,,,,,17635,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,,,,,,,,,,,,6750,,,,,,,,,,,200,30085
Neydens,74201,,,,,,2500,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,300,,13857,6111,,,,,,,,,,,26268
Perrignier,74210,,,,,,1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076,,,,,,,,,,,,2688,,,,,,,,,,,,6586
Poisy,74213,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,25564,,,,,3407,,,,,,,29675
Publier,74218,,,,,,62926,,,,,,,,,,,,,,8770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,13114,,,,,,,,,635,,,5765,,,,,,,,,,,2838,94148
Rumilly,74225,,,,,,140,,,,,,,,,,,,,,670,,,,,,140,,,,,,12439,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,300,,,,,641,,,,,,,,110,,,57496,3070,,,,,225,,,,,2410,77781
